,Open,High,Low,Close,Volume
2024-05-05,57428.44253484369,58659.37921079784,56131.30710302596,57578.36556458473,29651084748.443726
2024-05-06,57516.15194007079,58749.299177022884,56216.35493571777,57666.29069796484,29681216721.849854
2024-05-07,57603.86134529789,58839.21914324793,56301.40276840981,57754.215831344714,29711348695.25586
2024-05-08,57691.57075052499,58929.139109472744,56386.45060110185,57842.14096472482,29741480668.661865
2024-05-09,57779.28015575209,59019.05907569779,56471.49843379366,57930.0660981047,29771612642.067993
2024-05-10,57866.989560979186,59108.97904192284,56556.546266485704,58017.991231484804,29801744615.474
2024-05-11,57954.69896620652,59198.89900814765,56641.59409917751,58105.91636486468,29831876588.880005
2024-05-12,58042.408371433616,59288.8189743727,56726.641931869555,58193.84149824479,29862008562.286133
2024-05-13,58130.117776660714,59378.738940597745,56811.6897645616,58281.76663162466,29892140535.69214
2024-05-14,58217.82718188781,59468.65890682256,56896.73759725341,58369.69176500477,29922272509.098145
2024-05-15,58305.53658711491,59558.578873047605,56981.78542994545,58457.616898384644,29952404482.504272
2024-05-16,58393.24599234201,59648.49883927265,57066.83326263749,58545.54203176475,29982536455.91028
2024-05-17,58480.95539756911,59738.418805497466,57151.8810953293,58633.467165144626,30012668429.316284
2024-05-18,58568.66480279621,59828.33877172251,57236.92892802134,58721.39229852473,30042800402.72229
2024-05-19,58656.374208023306,59918.25873794756,57321.97676071338,58809.31743190461,30072932376.128418
2024-05-20,58744.083613250405,60008.17870417237,57407.02459340519,58897.242565284716,30103064349.534424
2024-05-21,58831.7930184775,60098.09867039742,57492.072426097235,58985.16769866459,30133196322.94043
2024-05-22,58919.5024237046,60188.018636622466,57577.12025878928,59073.0928320447,30163328296.346558
2024-05-23,59007.2118289317,60277.93860284751,57662.168091481086,59161.01796542457,30193460269.752563
2024-05-24,59094.92123415903,60367.85856907233,57747.21592417313,59248.94309880468,30223592243.15857
2024-05-25,59182.63063938613,60457.77853529737,57832.26375686517,59336.868232184555,30253724216.564697
2024-05-26,59270.34004461323,60547.69850152242,57917.31158955698,59424.79336556466,30283856189.970703
2024-05-27,59358.04944984033,60637.618467747234,58002.35942224902,59512.71849894454,30313988163.37671
2024-05-28,59445.758855067426,60727.53843397228,58087.40725494106,59600.643632324645,30344120136.782715
2024-05-29,59533.468260294525,60817.45840019733,58172.45508763287,59688.56876570452,30374252110.188843
2024-05-30,59621.17766552162,60907.37836642214,58257.502920324914,59776.49389908463,30404384083.59485
2024-05-31,59708.88707074872,60997.29833264719,58342.550753016956,59864.4190324645,30434516057.000854
2024-06-01,59796.59647597582,61087.218298872234,58427.598585708765,59952.34416584438,30464648030.406982
2024-06-02,59884.30588120292,61177.13826509705,58512.64641840081,60040.269299224485,30494780003.81299
2024-06-03,59972.01528643002,61267.058231322095,58597.69425109285,60128.19443260436,30524911977.218994
